id_artigo,titulo,ano,api_abstract,topico,topico_prob
10,SIMILARITY-BASED SYNTHETIC DOCUMENT REPRESENTATIONS FOR META-FEATURE GENERATION IN TEXT CLASSIFICATION,2019,"We propose new solutions that enhance and extend the already very successful application of meta-features to text classification. Our newly proposed are capable of: (1) improving correlation small pieces evidence shared by neighbors with labeled categories means synthetic document representations (local global) hyperplane distances; (2) estimating level error introduced these existing in literature, specially for hard-to-classify regions feature space. experiments large representative number datasets show our produce best results all tested scenarios, achieving gains up 12% over strongest meta-feature proposal literature.",22,0.0
11,EXPOSIÇÃO MIDIÁTICA DO ENSINO REMOTO EM TEMPOS E PANDEMIA,2023,"Este trabalho tem o intuito de investigar os desaos impostos no período da pandemia aos estudantes a partir doenquadramento e dos recortes produzidos por telejornais em matérias cujas pautas abordam pandemia. O procedimento metodológicoadotado para realização pesquisa consiste na Análise do Discurso. corpus utilizado ´e composto jornalísticasque pautam questões ligadas educação, ensino as diculdades enfrentadas máxima vulnerabilidade pandemia,identicando sujeitos discurso. A análise apresenta que tiveram vozes são estão investidos poder eautonomia falar enquanto representantes das esferas estadual municipal. Observa-se falta espaço enunciação dosestudantes, bem como docentes demais funcionários Educação.",-1,0.0
12,ON THE COST-EFFECTIVENESS OF STACKING OF NEURAL AND NON-NEURAL METHODS FOR TEXT CLASSIFICATION: SCENARIOS AND PERFORMANCE PREDICTION,2021,"Neural network algorithms such as those based on transformers and attention models have excelled Automatic Text Classification (ATC) tasks.However, enhanced performance comes at high computational costs.Ensembles of simpler classifiers (i.e., stacking) that exploit algorithmic representational complementarities also been shown to produce top-notch in ATC, enjoying effectiveness potentially lower costs.In this context, we present the first largest comparative study cost-effectiveness stacking ATC classifiers, consisting non-neural algorithms.In particular, are interested answering research questions as: Is it possible obtain an effective ensemble with significantly less cost than best learning model for a given dataset?Disregarding cost, can improve model?Besides questions, another main contribution paper is proposal low-cost oracle-based method predict each scenario (with without limitations) using only fraction available training data.",6,0.0
13,COTIDIANO: UM SOFTWARE PARA AUXILIAR CRIANÇAS AUTISTAS EM SUAS ATIVIDADES DIÁRIAS,2017,"O autismo é um transtorno que apresenta perturbações causa dificuldade nas relações sociais, problemas de comunicação e alterações bruscas comportamento. Este estudo averiguou as tecnologias existentes auxiliam no tratamento do constatou existe uma escassez softwares levam em consideração esse assunto. Diante disso, foi realizado para o desenvolvimento aplicativo auxiliar crianças autistas seu cotidiano. mesmo testado por equipe multidisciplinar, deram feedback positivo, sentido poderá contribuir na vida criança autista nível leve moderado, melhorando suas sociais.",0,0.0
14,"PRESSURE SOUND LEVEL MEASUREMENTS AT AN EDUCATIONAL ENVIRONMENT IN GOIÂNIA, GOIÁS, BRAZIL",2018,"In this work, 25 points located on the ground floor of Federal Institute Education, Science and Technology Goias - IFG Campus Goiânia, were analyzed in morning periods two Saturdays. The pressure sound levels measured at internal external environments during routine activities seeking to perform an environmental monitoring institution. initial hypothesis was that amusement park (Mutirama Park) responsible for originating noise pollution institute, but results showed, within campus environment, accordance with Municipal legislation Goiânia all points.",-1,0.0
15,ASSESSMENT OF ETHYLENE VINYL-ACETATO COPOLYMER (EVA) SAMPLES BOMBARDED BY GAMMA RADIATION VIA LINEARITY ANALYSES,2018,"Materials with the potential to become dosimeters are of interest in radiation physics. In this research, materials were analyzed and compared relation their linearity ranges. Samples ethylene vinyl-acetate copolymer (EVA) irradiated doses from 10 Gy kGy using a 60Co Gamma-Cell system 220 evaluated FTIR technique. The analyses applied through two methodologies, searching for linear regions response. results show that both indicate defined dose interval. detectors EVA can be useful dosimetry intermediate high doses.",-1,0.0
16,AVALIAÇÃO DO TAMANHO DAS SÉRIES HISTÓRICAS PARA APROVEITAMENTO DE ÁGUA PLUVIAL: UMA REVISÃO BIBLIOGRÁFICA,2021,"RESUMO: Os sistemas prediais de aproveitamento água pluvial (SPAAPs) estão sendo cada vez mais utilizados como fonte alternativa a potável. A série histórica dados pluviométricos é um dos entrada para o dimensionamento do reservatório pluvial, no entanto, muitas são as localidades que não possuem extensos forma garantir adequada estimativa da oferta. Assim, objetivo deste estudo expor os estudos sobre análise tamanho foram conduzidos, por meio revisão bibliográfica literatura, identificando tendências futuros devido lacunas conhecimento. Foi realizada uma busca artigos publicados na base Scopus e, critérios inclusão pré-definidos, selecionados 4 aderentes. observado tema começou ser estudado recentemente e seu se concentra em apenas dois países. Com análises realizadas, fornecidas recomendações trabalhos visão geral literatura.",0,0.0
18,INFLUÊNCIA DA REDUÇÃO DO VOLUME DE DESCARGA DA BACIA SANITÁRIA NO DESEMPENHO DE ESCOAMENTO DOS SISTEMAS PREDIAIS DE ESGOTO SANITÁRIO,2021,"RESUMO: A conservação da água tem sido considerada requisito a ser atendido pelas novas edificações, de forma minimizar utilização desregrada e irresponsável potável. equipamentos que requerem uma menor quantidade para o seu funcionamento é das possibilidades redução do consumo nas construções contribuindo assim com diminuição volume esgoto gerado. Ao inserir um equipamento descarga vazão reduzidas (VRD) opera características diferentes quando comparado aos utilizam plena, necessário rede irá recebe-lo, seja ela em fase projeto ou já executada, compatível sua operação. Diante disso, trabalho objetiva realização estudo sobre comportamento redes predial projetadas simulando inserção bacias sanitárias VDR 4,5 litros. Para isso, foi realizada revisão bibliográfica critérios dimensionamento verificação projetos hidráulicos-sanitários ambientes possuíam sanitárias. Os ramais dos pavimentos térreos, maioria, apresentaram maior possibilidade obstrução, ao simular bacia sanitária VDR, devido às maiores distâncias até subcoletor predial. O mesmo aconteceu frequência outros tipos pavimentos. resultados encontrados enfatizam necessidade dimensionar cada ambiente sanitário única prévio, ter eficiente ainda contribuir uso racional água.",0,0.0
19,THERMAL SIMULATION AND VALIDATION OF 5W HIGH POWER LED LUMINAIRE,2015,"This paper presents initial studies on thermal heat dissipation in a high-power 5W LED (Light Emitting Diode) luminaire. Two types of sinks are proposed, and three simulations presented through an analysis by finite element methods (FEM). The first simulation considers luminaire consisting confinement, LED, star shaped sink base attached. second proposes external sink. third new model. From the results, it was possible to design build prototype test different cooling structures issued LED. results experimental tests that were held with without matched results. major goal this study is know management luminaires simulation, order optimize geometry, material, layout",28,0.0
20,IMPROVED OPTIMIZATION METHODOLOGY FOR HIGH POWER LED MATRIX LUMINAIRE,2017,"This paper presents an improvement of the optimization methodology luminaire built by high power light emitting diode (LED) matrix. Six parameters that modify geometry and layout are evaluated through a parameter sensitivity study. The result indicates five have equally distributed index, while one index with less than 1% influence. metrics defined in previous study to evaluate results thermal analysis lighting enhanced. Five new illuminance evaluation profiles on target plane defined, metric for is created, just as function selected.",-1,0.0
21,ONTOLOGY APPLIED IN THE JUDICIAL SENTENCES,2017,"The aim of this paper is to introduce a semantic methodology using ontology in order improve results data mining judicial decisions database. An intelligent and automatic method search for sentences lawsuits related the one trial presented. A built with without rules from experts. can provide judiciary celerity, seeking solve yearning society, as it be able simulate advisers work on preparation.",-1,0.0
22,OPTIMIZED SOLAR SIMULATOR STRUCTURE FOR UNIFORM IRRADIANCE DISTRIBUTION,2018,"This paper presents the development and optimization of a solar simulator designed to irradiate uniform light on target plane. A luminaire covering 3.6 m <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup> was developed simulate radiation device under test in closed chamber free from influence external radiance. The apparatus uses metal halide lamps match spectrum performs electrical performance analysis photovoltaic panels. final shape structure obtained running genetic algorithm results presented Class C with non-uniformity equal 9.9%. Comparisons were made between simulated practical panels characteristics resulting error less than 10%.",28,0.0
23,LIGHTING SIMULATION AND VALIDATION FOR HIGH POWER LED MATRIX LUMINAIRE,2018,"In this work a lighting study of high-power light-emitting diode (HP-LED) luminaire is presented. Some experimental simulations are performed in two case studies. The temperature behavior the also evaluated (with and without forced cooling) as increases number active LEDs luminaire. illuminance each LED still related increases. Through model designed stochastic ray tracing simulation software, with 1 million rays obeying same technical specifications practical experimentation. results compared obtained experiment validated an error ±3.8 % along x-axis target plane ±5.4 y-axis plane.",28,0.0
25,A WSSL IMPLEMENTATION FOR CRITICAL CYBER-PHYSICAL SYSTEMS APPLICATIONS,2023,"The advancements in wireless communication technologies have enabled unprecedented pervasiveness and ubiquity of Cyber-Physical Systems (CPS). Such can now empower true Systems-of-Systems, which cooperate to achieve more complex efficient functionalities. However, for CPS applications become a reality, safety security must be guaranteed, particularly critical systems, since they rely on open systems prone intentional non-intentional interferences. We propose designing Wireless Safety Security Layer (WSSL) architecture implemented address these issues. WSSL increases the reliability communications by enabling detection errors. Furthermore, it using message signature process that uniquely identifies sender. So, we present its implementation over an MQTT protocol. prove does not significantly increase system transmission costs demonstrate capability ensure security, allowing used any general or CPS.",4,0.0
26,DEVELOPMENT OF A HARDWARE IN THE LOOP AD-HOC TESTBED FOR COOPERATIVE VEHICLES PLATOONING,2023,"Cooperative Cyber-Physical Devices (Co-CPS) are reaching into the most diverse areas and pose new integration challenges. For cooperative autonomous machines, safety reliability must be guaranteed without human presence. Among these, Vehicular Platooning (Co-VP) applications offer an exciting promise, as they allow to improve road occupation, reduce accidents, provide fuel savings. The high complexity safety-critical characteristics of these requires them validated, ensure their before being applied in real scenarios, notably regarding underlying communication transactions. This paper presents architecture for validating a Co-VP system via Hardware-In-the-Loop (HIL) IEEE 802.11 communications co-simulation support 3D simulator. We present it scenario according ETSI ITS model information exchange frequencies between vehicles. Through scenarios that mimic realistic conditions applications, we observe impact such variations on number messages received, network delay, lateral longitudinal platoon errors.",4,0.0
29,THE STATUS QUO OF SYSTEMS-OF-INFORMATION SYSTEMS,2019,"The modernization of business processes have pressured Software-Intensive Information Systems (IS) to interoperate with several types of systems, such as cyberphysical systems, drones, satellites, and mobiles, arising a new type of complex systems so-called Systems-of-Information Systems (SoIS). Despite the novelty of the area as it has been known, it follows a trend of previous complex systems, such as Federated Information Systems and Large-Scale Information Systems. However, operational and managerial independence of IS constituents have created a new type of system that must be understood to suitably support new business and modernize old ones, such as pizza delivery via drone swarms. Hence, to sustain the area and achieve advances, it is necessary to externalize the state of the art and practice of the area. However, the lack of literature mappings on this topic can hamper the evolution of the area and pose difficulties to its progress, besides making it difficult to obtain relevant information about existing gaps and advances that could be made in the future. This paper presents results of a Systematic Mapping (SM) carried out to investigate the status quo of SoIS domain. We bring a panorama of this research topic and also indicate research perspectives. From a set of 212 studies, 25 were selected, analyzed and had their data extracted. Results reveal that interoperability between different IS is still a challenge and the low number of studies referring to languages, techniques and tools for modeling SoIS architectures points to an important area of study to be researched in the next years.",-1,0.0
30,A NOVEL TECHNIQUE FOR LINK ADAPTATION BASED ON INNER RECEIVER STATISTICS,2022,"The fast-moving evolution of new technologies is driving the future mobile networks to a challenging pursuit for high throughput and reliability.Emerging services will need precise indicators address contrasting requisites link adaptation cardinal element.The received signal measurements must provide complete information perform appropriate timely decisions.Most communication systems employ statistics based on error rates, but it not sufficient accomplish all requirements.Additional necessary define best parametrization each application.This paper indicates an approach achieve this goal by monitoring processes directly into physical layer decoding.",4,0.0
31,SENSORIAMENTO DE ESPECTRO CONTÍNUO BASEADO EM CANCELAMENTO DE FONTES,2015,"Although the electromagnetic spectrum bands intended for applications from general public have been almost all licensed, studies show that is under-utilized.Considering sensing main feature enables cognitive radio networks (CR) to use best opportunities in spectrum, various efforts employed seeking improve compromise between primary network and transmission capacity of secondary network, order overcome limitations traditional approaches, such as serial sensing, which requires interruption perform sensing.In this sense, work presents a method continous paralell MIMO networks, having multiple users (PUs) (SUs) transmitting on same channel interest, received signals SUs they can be canceled matrix signals, by employing techniques Least Squares (LS) Independent Component Analysis (ICA), complete estimation transmitters users, enabling cancellation these before reach energy detector.This demonstrates RC environments, occurs parallel transmission, existence other interest creates complications detection problem solved with described here.To validate proposed system, simulations were performed using Monte Carlo method, check performance after scenarios, each techniques.vii",4,0.0
32,ANÁLISE DO ENSINO DE ENGENHARIA NO BRASIL: ESTUDO DE CASO NA REGIÃO CENTRO-OESTE,2020,"Os cursos superiores na área de engenharias aumentaram nas últimas decádas região Centro-Oeste do Brasil. Com isso faz-se necessário averiguar a qualidade ensino prestado nessa que influência diretamente ecônomia brasileira. O objetivo desse trabalho é apresentar um panorama, visão dos estudantes, sobre os aspectos didáticos e utilização metodologias professores nos engenharia A metodologia utilizada foi uma pesquisa on-line disponibilizada aos alunos dessa região. Como resultado, pode-se traçar algumas ineficiências qualidades praticado Conclui-se estudantes ainda sentem necessidade evolução por parte docentes também sistema educacional, para otimizar o Centro-Oeste.",-1,0.0
33,METHODOLOGY AND COMPARISON OF DEVICES FOR RECOGNITION OF SIGN LANGUAGE CHARACTERS,2017,"The purpose of this work is to develop devices capable identifying sign language characters and comparing them in order verify layout with better accuracy robustness. recognition performed using Artificial Neural Networks all the input data are signals from flex sensors, accelerometers gyroscopes, positioned differently on each device. After being trained, validated tested, network reachs hit rate about 95.8%. It proposed as solution deaf people's accessibility presents proposal for development new that express complete words phrases.",0,0.0
34,DEVICES ANALYSIS AND ARTIFICIAL NEURAL NETWORK PARAMETERS FOR SIGN LANGUAGE RECOGNITION,2017,"The purpose of this paper is to develop and analyses device capable identifying sign language. recognition performed using Multilayer Perceptron all the input data are signals from flex sensors, accelerometers gyroscopes. Artificial Neural Network tested modifying parameters as: a) number neurons in only middle layer, b) learning rate between layers c) output layers. After being trained, validated tested, network reachs hit about 96.1%. It proposed as alternative deaf people's accessibility solution with good accuracy low financial cost compared those devices already on market.",0,0.0
35,PERFORMANCE OF HAAR AND LBP FEATURES IN CASCADE CLASSIFIERS TO WHITEFLIES DETECTION AND COUNTING,2017,"This paper presents a comparison between the performances of LBP and Haar features in Cascade Classifier, which aims automatically to count immature whiteflies (nymphs). The relevance counting these nymphs is related pest management, leads an increase food production. Evaluate differences weak classifiers can lead better understanding implementation object detection using classifiers. Photos infested leaves beanstalks were taken order set samples. Then, models trained according documentation available literature. Using both results high performance for conception as binary gives rapid training prediction performance, therefore option rural applications. Those results, are presented discussed.",-1,0.0
36,"SOCIOECONOMIC, SCIENTIFIC AND TECHNOLOGICAL INDICATORS AS PARAMETERS FOR PREDICTION MODEL",2017,"This paper proposes a development's prediction model based on Artificial Neural Network. The methodology proposed consists in: i) countries selection; ii) selection and obtainment of indicators referring to the selected countries; iii) proposal model; iv) Network training validation. results indicated predicted values close real Brazilian in 2015, except for patents application. For future papers deep research particularities these technological indicators, besides comparing with regression method artificial neural network trained only data from country analysis.",-1,0.0
38,PROEJASOCIAL: DESENVOLVIMENTO E AVALIAÇÃO DE UMA REDE SOCIAL PARA ENSINO DE MATEMÁTICA NA EDUCAÇÃO DE JOVENS E ADULTOS,2017,"A educação matemática tem o desafio de criar novas formas ensinar e combater a alta reprovação dos alunos nesta área. Redes sociais são uma alternativa, pois circulam nessas comunidades virtuais diversos materiais contendo conceitos matemáticos que podem ser explorados pelos professores. Este trabalho descreve desenvolvimento rede social sua contribuição didática no ensino equações matemáticas em turma Educação Jovens Adultos. Os resultados evidenciaram uso dessa social, inserida sequencia didática, contribuiu para aprendizagem sobre matemáticas.",0,0.0
42,PUNÇÃO EM LAJES COGUMELO DE CONCRETO ARMADO - RETANGULARIDADE DOS PILARES,2012,"RESUMO: Foram ensaiadas e analisadas 8 (oito) lajes cogumelo de concreto armado quadradas com 1800 mm lado 130 espessura, submetidas a carregamento central, o objetivo investigar influencia do indice retangularidade pilar, sendo que relacao entre as dimensoes da secao transversal pilar (cmax/cmin) variou 1 4, perimetro mantido constante igual 1000 mm. Sao apresentados analisados os resultados das cargas ruptura, modos deslocamentos verticais, fissuracao deformacoes aco concreto. apresentadas comparacoes dos experimentais codigos, normas projeto literatura. Os indicam medida aumenta retangularidade, resistencia puncao diminui para possuem pilares constante, sugerindo combate pode ser mais efetivo em regioes proximas extremidades pilares, onde ha maior concentracao forcas cortantes. E apresentada uma proposta inclusao parâmetro cmax/cmin nas expressoes calculo ACI (2002), CEB-FIP (1991), EC2 (2001) NBR-6118 (2003).

ABSTRACT: Eight reinforced concrete flat slabs were tested. Slabs 1800mm square and 130mm thick submitted to concentric loading. The objective of this study was investigate the influence column rectangularity coefficient. relationship between cross section dimensions varyied 4 with constant perimeter equal 1000mm. Results presented analyzed include ultimate loads failure types, modes rupture, vertical displacements, cracking deformations steel concrete. Comparisons codes results obtained by other researchers are also presented. indicate that coefficient increases, punching shear resistance decreases for slabs. This suggests has be considered especially in regions close corners, where there is larger concentration forces. A proposal an inclusion parameter expressions calculation (2003)",10,0.0
43,GAP FILLING IN TIME SERIES: A NEW METHODOLOGY APPLYING SPECTRAL ANALYSIS AND SYSTEM IDENTIFICATION,2017,"The presence of gaps in time series makes the data analysis process difficult. Although there are several methods for filling such gaps, they do not present satisfactory results as gap widens. proposal this paper is to a new methodology that uses techniques extraction characteristics and identification systems fill missing data. proposed was applied physical chemical variables related water quality behavior Paraguay River, effectiveness internal forecast proven.",0,0.0
44,ESTUDO DO CONTO 'NINHO DE PERIQUITOS' DE HUGO DE CARVALHO RAMOS: UMA EXPERIÊNCIA LITERÁRIA COM ESTUDANTES DO 4º ANO DO ENSINO FUNDAMENTAL.,2021,"que se insere nos escritos, a partir dos encontros teóricos e vivenciais lhe permitem construção de textos ficcionais.",-1,0.0
45,NOVEL TIME-DOMAIN AVERAGE MODEL FOR HARMONIC CURRENT PREDICTION IN PHOTOVOLTAIC AND WIND POWER UNITS,2021,"Computer models designed to assess harmonic levels created by renewable energy sources (RESs) need reproduce the converter operation effect. However, only a few simplified time-domain have been developed predict harmonics while reducing simulation time, which is one of main limitations detailed models. This paper presents novel model, called average model (HM), estimate currents generated inverters. The superposition principle applied include dead time and switching effects in model. In addition, snubber effect considered introducing circuits HM. Time-domain simulations type-IV wind turbine are executed with existing then HM evaluate proposed Field measurements power plant photovoltaic used validate under different injection scenarios. results indicate that follows reference accurately estimating spectra. Further, relatively simple deploy reduces computation time. A comparison between field suggests simulated spectra an adequate approximation measured These confirm can be transmission system operators support prediction inverters impact RESs on voltage quality.",-1,0.0
47,"RAIN ATTENUATION AT THZ FREQUENCIES FROM HISTORICAL DATA COLLECTED IN BRASILIA, BRAZIL",2021,"This paper proposes a case study for estimating rain attenuation with rainfall data collected in Brasilia, Brazil at THz frequencies using Mie Theory and Drop Size Distribution. To address this goal, we used measured rate the past 18 years National Institute of Meteorology (INMET). A statistical approach that uses Monte Carlo simulation was applied to obtain reasonable estimation terahertz spectrum. evaluate accuracy method, performed comparison between calculated by ITU-R model. The proposed work showed mean varies 1.7 3.5 dB/km. For events higher than 10 mm/h, results 8",-1,0.0
48,ESTIMATING BRASILIA RAIN ATTENUATION AT THZ FREQUENCIES FROM HISTORICAL DATA BASED IN MONTE CARLO SIMULATION AND UNSCENTED TRANSFORM,2021,"This paper proposes a case study for estimating rain attenuation from rainfall data collected in Brasilia, Brazil at THz frequencies using Mie Theory and Drop Size Distribution (DSD).To address this goal, we used measured rate the past 19 years National Institute of Meteorology (INMET).A statistical approach that uses Monte Carlo (MC) simulation Unscented Transform (UT) was applied to obtain reasonable estimation terahertz spectrum.To evaluate accuracy method, performed comparison between calculated by ITU-R recommendation.Also, MC UT were made analyze estimations.The results work showed mean varies 1.918 2.66 dB/km.For events higher than 10 mm/h, 8.53 15.96 dB/km.",-1,0.0
49,INDIVIDUALISMO E ALIENAÇÃO: CONDIÇÕES E CONTRADIÇÕES DO SER SOCIAL EM KARL MARX,2019,"Este artigo questiona as contradições da condição do ser social inerentes à nossasociedade capitalista que se produz por ocultação, a partir recorte das determinações materiais de produção constituíram o sujeito como classe, enquanto personificação relações econômicas, sob contradição entre capital e trabalho, relegou antiga comunidade sua dissolução na sociedade, bem uma pulverização forma indivíduo. Sob alienação, valorização indivíduo é estratégia objetiva ocultá-lo pertencente classe e, assim, aniquilá-lo sujeito, distanciando-o desenvolvimento suas potencialidades pessoais sociais, si história. Essa situação, no entanto, difere primitivamente mais gregária dos homens ideal marxista organização comunitária. Quanto avança história, individualizado, isolado alienado tornou, fim atender àsdemandas domínio desta sociedade. Contudo, para Marx, superação atual estado coisas será um movimento real tendencial, resultante próprias premissas oferecidas este sistema decadente.",0,0.0
